<html xmlns="http://www.w3.org/1999/xhtml"><head><link title="Wrap Long Lines" href="resource://gre-resources/plaintext.css" type="text/css" rel="alternate stylesheet" /></head><body><pre># Assembly Name:  NCBI33
# Description:    NCBI33 with the DR51 &amp; DR52 alternate MHC haplotype scaffolds in alt-locus assembly-units
# Organism name:  Homo sapiens
# Taxid:          9606
# Submitter:      International Human Genome Sequencing Consortium
# Date: 2003-4-12
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# RefSeq Assembly ID: GCF_000001405.8 (replaced)
#
## Assembly-Units:
## GenBank Unit ID	RefSeq Unit ID	Assembly-Unit name
## 	GCF_000001305.8	Primary Assembly
## 	GCF_000330965.1	DR51
## 	GCF_000330975.1	DR52
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit
13	assembled-molecule	13	Chromosome	na	&lt;&gt;	NC_000013.5	Primary Assembly
14	assembled-molecule	14	Chromosome	na	&lt;&gt;	NC_000014.4	Primary Assembly
15	assembled-molecule	15	Chromosome	na	&lt;&gt;	NC_000015.4	Primary Assembly
16	assembled-molecule	16	Chromosome	na	&lt;&gt;	NC_000016.4	Primary Assembly
17	assembled-molecule	17	Chromosome	na	&lt;&gt;	NC_000017.5	Primary Assembly
18	assembled-molecule	18	Chromosome	na	&lt;&gt;	NC_000018.4	Primary Assembly
19	assembled-molecule	19	Chromosome	na	&lt;&gt;	NC_000019.5	Primary Assembly
20	assembled-molecule	20	Chromosome	na	&lt;&gt;	NC_000020.5	Primary Assembly
21	assembled-molecule	21	Chromosome	na	&lt;&gt;	NC_000021.3	Primary Assembly
22	assembled-molecule	22	Chromosome	na	&lt;&gt;	NC_000022.4	Primary Assembly
X	assembled-molecule	X	Chromosome	na	&lt;&gt;	NC_000023.4	Primary Assembly
Y	assembled-molecule	Y	Chromosome	na	&lt;&gt;	NC_000024.3	Primary Assembly
Hs1_77437_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077388.2	Primary Assembly
Hs1_78012_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077943.1	Primary Assembly
Hs1_78013_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077944.1	Primary Assembly
Hs1_78014_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077945.1	Primary Assembly
Hs1_78015_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077946.1	Primary Assembly
Hs1_78016_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077947.1	Primary Assembly
Hs1_78017_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077948.1	Primary Assembly
Hs1_78018_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077949.1	Primary Assembly
Hs1_78019_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077950.1	Primary Assembly
Hs1_78020_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077951.1	Primary Assembly
Hs1_78021_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077952.1	Primary Assembly
Hs1_78022_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077953.1	Primary Assembly
Hs1_78023_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077954.1	Primary Assembly
Hs1_78024_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077955.1	Primary Assembly
Hs1_78025_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077956.1	Primary Assembly
Hs1_78026_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077957.1	Primary Assembly
Hs1_78027_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077958.1	Primary Assembly
Hs1_78028_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077959.1	Primary Assembly
Hs1_78029_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077960.1	Primary Assembly
Hs1_78030_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077961.1	Primary Assembly
Hs1_78031_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077962.1	Primary Assembly
Hs1_78032_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077963.1	Primary Assembly
Hs1_78033_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077964.1	Primary Assembly
Hs1_78034_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077965.1	Primary Assembly
Hs1_78035_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077966.1	Primary Assembly
Hs1_78036_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077967.1	Primary Assembly
Hs1_78037_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077968.1	Primary Assembly
Hs1_78038_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077969.1	Primary Assembly
Hs1_78039_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077970.1	Primary Assembly
Hs1_78040_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077971.1	Primary Assembly
Hs1_78041_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077972.1	Primary Assembly
Hs1_78042_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077973.1	Primary Assembly
Hs1_78043_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077974.1	Primary Assembly
Hs1_78044_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077975.1	Primary Assembly
Hs1_78045_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077976.1	Primary Assembly
Hs1_78046_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077977.1	Primary Assembly
Hs1_78047_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077978.1	Primary Assembly
Hs1_78048_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077979.1	Primary Assembly
Hs1_78049_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077980.2	Primary Assembly
Hs1_78050_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077981.1	Primary Assembly
Hs1_78051_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077982.1	Primary Assembly
Hs1_78052_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077983.1	Primary Assembly
Hs1_78053_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077984.1	Primary Assembly
Hs1_78054_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077985.1	Primary Assembly
Hs1_78055_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077986.1	Primary Assembly
Hs1_78056_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077987.1	Primary Assembly
Hs1_78057_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077988.1	Primary Assembly
Hs1_78058_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077989.1	Primary Assembly
Hs1_78059_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077990.1	Primary Assembly
Hs1_78060_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077991.1	Primary Assembly
Hs1_78061_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077992.1	Primary Assembly
Hs1_78062_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077993.1	Primary Assembly
Hs1_78063_33	unlocalized-scaffold	1	Chromosome	na	&lt;&gt;	NT_077994.1	Primary Assembly
Hs2_78064_33	unlocalized-scaffold	2	Chromosome	na	&lt;&gt;	NT_077995.1	Primary Assembly
Hs2_78065_33	unlocalized-scaffold	2	Chromosome	na	&lt;&gt;	NT_077996.1	Primary Assembly
Hs2_78066_33	unlocalized-scaffold	2	Chromosome	na	&lt;&gt;	NT_077997.1	Primary Assembly
Hs2_78067_33	unlocalized-scaffold	2	Chromosome	na	&lt;&gt;	NT_077998.1	Primary Assembly
Hs2_78068_33	unlocalized-scaffold	2	Chromosome	na	&lt;&gt;	NT_077999.1	Primary Assembly
Hs2_78069_33	unlocalized-scaffold	2	Chromosome	na	&lt;&gt;	NT_078000.1	Primary Assembly
Hs2_78070_33	unlocalized-scaffold	2	Chromosome	na	&lt;&gt;	NT_078001.1	Primary Assembly
Hs2_78071_33	unlocalized-scaffold	2	Chromosome	na	&lt;&gt;	NT_078002.1	Primary Assembly
Hs2_78072_33	unlocalized-scaffold	2	Chromosome	na	&lt;&gt;	NT_078003.1	Primary Assembly
Hs2_78073_33	unlocalized-scaffold	2	Chromosome	na	&lt;&gt;	NT_078004.1	Primary Assembly
Hs2_78074_33	unlocalized-scaffold	2	Chromosome	na	&lt;&gt;	NT_078005.1	Primary Assembly
Hs3_78076_33	unlocalized-scaffold	3	Chromosome	na	&lt;&gt;	NT_078007.1	Primary Assembly
Hs3_78077_33	unlocalized-scaffold	3	Chromosome	na	&lt;&gt;	NT_078008.1	Primary Assembly
Hs4_77488_33	unlocalized-scaffold	4	Chromosome	na	&lt;&gt;	NT_077439.2	Primary Assembly
Hs4_78079_33	unlocalized-scaffold	4	Chromosome	na	&lt;&gt;	NT_078010.1	Primary Assembly
Hs4_78080_33	unlocalized-scaffold	4	Chromosome	na	&lt;&gt;	NT_078011.1	Primary Assembly
Hs4_78081_33	unlocalized-scaffold	4	Chromosome	na	&lt;&gt;	NT_078012.1	Primary Assembly
Hs4_78082_33	unlocalized-scaffold	4	Chromosome	na	&lt;&gt;	NT_078013.1	Primary Assembly
Hs4_78083_33	unlocalized-scaffold	4	Chromosome	na	&lt;&gt;	NT_078014.1	Primary Assembly
Hs4_78084_33	unlocalized-scaffold	4	Chromosome	na	&lt;&gt;	NT_078015.1	Primary Assembly
Hs4_78085_33	unlocalized-scaffold	4	Chromosome	na	&lt;&gt;	NT_078016.1	Primary Assembly
Hs4_78086_33	unlocalized-scaffold	4	Chromosome	na	&lt;&gt;	NT_078017.1	Primary Assembly
Hs6_78089_33	unlocalized-scaffold	6	Chromosome	na	&lt;&gt;	NT_078020.1	Primary Assembly
Hs6_78090_33	unlocalized-scaffold	6	Chromosome	na	&lt;&gt;	NT_078021.1	Primary Assembly
Hs6_78091_33	unlocalized-scaffold	6	Chromosome	na	&lt;&gt;	NT_078022.1	Primary Assembly
Hs6_78092_33	unlocalized-scaffold	6	Chromosome	na	&lt;&gt;	NT_078023.1	Primary Assembly
Hs6_78093_33	unlocalized-scaffold	6	Chromosome	na	&lt;&gt;	NT_078024.1	Primary Assembly
Hs6_78094_33	unlocalized-scaffold	6	Chromosome	na	&lt;&gt;	NT_078025.1	Primary Assembly
Hs6_78095_33	unlocalized-scaffold	6	Chromosome	na	&lt;&gt;	NT_078026.1	Primary Assembly
Hs6_78096_33	unlocalized-scaffold	6	Chromosome	na	&lt;&gt;	NT_078027.1	Primary Assembly
Hs7_78098_33	unlocalized-scaffold	7	Chromosome	na	&lt;&gt;	NT_078029.1	Primary Assembly
Hs7_78099_33	unlocalized-scaffold	7	Chromosome	na	&lt;&gt;	NT_078030.1	Primary Assembly
Hs7_78100_33	unlocalized-scaffold	7	Chromosome	na	&lt;&gt;	NT_078031.1	Primary Assembly
Hs7_78101_33	unlocalized-scaffold	7	Chromosome	na	&lt;&gt;	NT_078032.1	Primary Assembly
Hs7_78102_33	unlocalized-scaffold	7	Chromosome	na	&lt;&gt;	NT_078033.1	Primary Assembly
Hs7_78103_33	unlocalized-scaffold	7	Chromosome	na	&lt;&gt;	NT_078034.1	Primary Assembly
Hs7_78104_33	unlocalized-scaffold	7	Chromosome	na	&lt;&gt;	NT_078035.1	Primary Assembly
Hs8_78107_33	unlocalized-scaffold	8	Chromosome	na	&lt;&gt;	NT_078038.1	Primary Assembly
Hs8_78108_33	unlocalized-scaffold	8	Chromosome	na	&lt;&gt;	NT_078039.1	Primary Assembly
Hs9_78142_33	unlocalized-scaffold	9	Chromosome	na	&lt;&gt;	NT_078073.1	Primary Assembly
Hs9_78143_33	unlocalized-scaffold	9	Chromosome	na	&lt;&gt;	NT_078074.1	Primary Assembly
Hs9_78144_33	unlocalized-scaffold	9	Chromosome	na	&lt;&gt;	NT_078075.1	Primary Assembly
Hs9_78145_33	unlocalized-scaffold	9	Chromosome	na	&lt;&gt;	NT_078076.1	Primary Assembly
Hs9_78146_33	unlocalized-scaffold	9	Chromosome	na	&lt;&gt;	NT_078077.1	Primary Assembly
Hs9_78147_33	unlocalized-scaffold	9	Chromosome	na	&lt;&gt;	NT_078078.1	Primary Assembly
Hs9_78148_33	unlocalized-scaffold	9	Chromosome	na	&lt;&gt;	NT_078079.1	Primary Assembly
Hs9_78149_33	unlocalized-scaffold	9	Chromosome	na	&lt;&gt;	NT_078080.1	Primary Assembly
Hs9_78150_33	unlocalized-scaffold	9	Chromosome	na	&lt;&gt;	NT_078081.1	Primary Assembly
Hs9_78151_33	unlocalized-scaffold	9	Chromosome	na	&lt;&gt;	NT_078082.1	Primary Assembly
Hs9_78152_33	unlocalized-scaffold	9	Chromosome	na	&lt;&gt;	NT_078083.1	Primary Assembly
Hs10_78154_33	unlocalized-scaffold	10	Chromosome	na	&lt;&gt;	NT_078085.1	Primary Assembly
Hs10_78155_33	unlocalized-scaffold	10	Chromosome	na	&lt;&gt;	NT_078086.1	Primary Assembly
Hs10_78156_33	unlocalized-scaffold	10	Chromosome	na	&lt;&gt;	NT_078087.1	Primary Assembly
Hs11_35298_33	unlocalized-scaffold	11	Chromosome	na	&lt;&gt;	NT_035136.1	Primary Assembly
Hs12_35428_33	unlocalized-scaffold	12	Chromosome	na	&lt;&gt;	NT_035266.2	Primary Assembly
Hs12_78159_33	unlocalized-scaffold	12	Chromosome	na	&lt;&gt;	NT_078090.1	Primary Assembly
Hs12_78160_33	unlocalized-scaffold	12	Chromosome	na	&lt;&gt;	NT_078091.1	Primary Assembly
Hs13_78161_33	unlocalized-scaffold	13	Chromosome	na	&lt;&gt;	NT_078092.1	Primary Assembly
Hs13_78162_33	unlocalized-scaffold	13	Chromosome	na	&lt;&gt;	NT_078093.1	Primary Assembly
Hs15_78166_33	unlocalized-scaffold	15	Chromosome	na	&lt;&gt;	NT_078097.1	Primary Assembly
Hs15_78167_33	unlocalized-scaffold	15	Chromosome	na	&lt;&gt;	NT_078098.1	Primary Assembly
Hs16_37919_33	unlocalized-scaffold	16	Chromosome	na	&lt;&gt;	NT_037915.1	Primary Assembly
Hs17_78170_33	unlocalized-scaffold	17	Chromosome	na	&lt;&gt;	NT_078101.1	Primary Assembly
Hs17_78171_33	unlocalized-scaffold	17	Chromosome	na	&lt;&gt;	NT_078102.1	Primary Assembly
Hs19_78172_33	unlocalized-scaffold	19	Chromosome	na	&lt;&gt;	NT_078103.1	Primary Assembly
Hs19_78173_33	unlocalized-scaffold	19	Chromosome	na	&lt;&gt;	NT_078104.1	Primary Assembly
HsX_77864_33	unlocalized-scaffold	X	Chromosome	na	&lt;&gt;	NT_077815.2	Primary Assembly
HsX_78178_33	unlocalized-scaffold	X	Chromosome	na	&lt;&gt;	NT_078109.1	Primary Assembly
HsX_78179_33	unlocalized-scaffold	X	Chromosome	na	&lt;&gt;	NT_078110.1	Primary Assembly
HsX_78180_33	unlocalized-scaffold	X	Chromosome	na	&lt;&gt;	NT_078111.1	Primary Assembly
HsX_78181_33	unlocalized-scaffold	X	Chromosome	na	&lt;&gt;	NT_078112.1	Primary Assembly
HsX_78182_33	unlocalized-scaffold	X	Chromosome	na	&lt;&gt;	NT_078113.1	Primary Assembly
HsX_78183_33	unlocalized-scaffold	X	Chromosome	na	&lt;&gt;	NT_078114.1	Primary Assembly
HsX_78184_33	unlocalized-scaffold	X	Chromosome	na	&lt;&gt;	NT_078115.1	Primary Assembly
HsX_78185_33	unlocalized-scaffold	X	Chromosome	na	&lt;&gt;	NT_078116.1	Primary Assembly
HsX_78186_33	unlocalized-scaffold	X	Chromosome	na	&lt;&gt;	NT_078117.1	Primary Assembly
HsX_78187_33	unlocalized-scaffold	X	Chromosome	na	&lt;&gt;	NT_078118.1	Primary Assembly
HsX_78188_33	unlocalized-scaffold	X	Chromosome	na	&lt;&gt;	NT_078119.1	Primary Assembly
HsX_78189_33	unlocalized-scaffold	X	Chromosome	na	&lt;&gt;	NT_078120.1	Primary Assembly
HsX_78190_33	unlocalized-scaffold	X	Chromosome	na	&lt;&gt;	NT_078121.1	Primary Assembly
HsY_78191_33	unlocalized-scaffold	Y	Chromosome	na	&lt;&gt;	NT_078122.1	Primary Assembly
HsUn_78192_33	unplaced-scaffold	na	na	na	&lt;&gt;	NT_078123.1	Primary Assembly
HsUn_78193_33	unplaced-scaffold	na	na	na	&lt;&gt;	NT_078124.1	Primary Assembly
HsUn_78194_33	unplaced-scaffold	na	na	na	&lt;&gt;	NT_078125.1	Primary Assembly
HsUn_78195_33	unplaced-scaffold	na	na	na	&lt;&gt;	NT_078126.1	Primary Assembly
Hs6_35036_33	alt-scaffold	6	Chromosome	na	&lt;&gt;	NT_034874.2	DR51
Hs6_34106_33	alt-scaffold	6	Chromosome	na	&lt;&gt;	NT_033951.3	DR52
</pre></body></html>
